aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC
abbey	VCV	0,1	ˈa-bē	1VCV	_1AEbIY.
abbot	VCVC	0,1	ˈa-bət	1VCVC	_1AEbAXt.
abbreviate	VCCVCVVC	0,1,4,6	ə-ˈbrē-vē-ˌāt	VCC1VCVVC	_AXbr1IYvIYEYt.
abbreviation	VCCVCVVCVC	0,1,4,6,7	ə-ˌbrē-vē-ˈā-shən	VCCVCV1VCVC	_AXbrIYvIY1EYSIXn.
abdicate	VCCVCVC	0,2,4	ˈab-di-ˌkāt	1VCCVCVC	_1AEbdIHkEYt.
abdomen	VCCVCVC	0,2,4	ˈab-də-mən	1VCCVCVC	_1AEbdAXmIXn.
abduct	VCCVCC	0,2	ab-ˈdəkt	VCC1VCC	_AXbd1UXkt.
abduction	VCCVCCVC	0,2,5	ab-ˈdək-shən	VCC1VCCVC	_AXbd1UXkSIXn.
abe	VCV	0,1	ˈä-bā	1VCV	_1AAbEY.
abeam	VCVC	0,1	ə-ˈbēm	VC1VC	_AXb1IYm.
abel	VCVC	0,1	ˈā-bəl	1VCVC	_1EYbAXl.
aberdeen	VCVCCVC	0,1,4	ˈa-bər-ˌdēn	VCVCC1VC	_AEbAXrd1IYn.
aberrant	VCVCVCC	0,1,4	a-ˈber-ənt	1VCVCCVCC	_1AEbAXrrIXnt.
aberration	VCVCVCVC	0,1,3,5	ˌa-bə-ˈrā-shən	VCVCC1VCVC	_AEbAXrr1EYSIXn.
abet	VCVC	0,1	ə-ˈbet	VC1VC	_AXb1EHt.
abeyance	VCVVCC	0,1,3	ə-ˈbā-ən(t)s	VC1VVCC	_AXb1EYIXns.
abhor	VCCVC	0,2	əb-ˈhȯr	VCC1VC	_AXbh1AOr.
abhorrence	VCCVCVCC	0,2,5	əb-ˈhȯr-ən(t)s	VCC1VCVCC	_AXbh1AOrIXns.
abide	VCVC	0,1	ə-ˈbīd	VC1VC	_AXb1AYd.
abiding	VCVCVC	0,1,3	ə-ˈbī-diŋ	VC1VC=VC	_AXb1AYd=IHN.
abidjan	VCVCVC	0,1,3	ˌä-bē-ˈjän	VC1VC C2VC	_AAb1IYd ~J2AEn.
ability	VCVCVCV	0,1,3,5	ə-ˈbi-lə-tē	VC1VCVCV	_AXb1IHlIXtIY.
abject	VCCVCC	0,2	ˈab-ˌjekt	1VCCVCC	_1AEbJEHkt.
abjure	VCCVC	0,2	ab-ˈju̇r	VCC1VC	_AXbJ1AXr.
ablate	VCCVC	0,1	a-ˈblāt	VCC1VC	_AXbl1EYt.
ablation	VCCVCVC	0,1,4	a-ˈblā-shən	VCC1VCVC	_AXbl1EYSIXn.
ablative	VCCVCVC	0,1,4	ˈa-blə-tiv	1VCCVCVC	_1AEblIXtIHv.
ablaze	VCCVC	0,1	ə-ˈblāz	VCC1VC	_AXbl1EYz.
able	VCVC	0,1	ˈā-bəl	1VCVC	_1EYbAXl.
abloom	VCCVC	0,1	ə-ˈblüm	VCC1VC	_AXbl1UWm.
ablution	VCCVCVC	0,1,4	ə-ˈblü-shən	VCC1VCVC	_AEbl1UWSIXn.
abnegation	VCCVCVCVC	0,2,4,6	ˌab-ni-ˈgā-shən	VCCVC1VCVC	_AEbnIHg1EYSIXn.
abnormal	VCCVCCVC	0,2,5	(ˌ)ab-ˈnȯr-məl	VCC1VCCVC	_AEbn1AOrmAXl.
abnormality	VCCVCCVCVCV	0,2,5,7,9	ˌab-nər-ˈma-lə-tē	1VCCVCC1VCVCV	_1AEbnAOrm1AElIXtIY.
aboard	VCVCC	0,1	ə-ˈbȯrd	VC1VCC	_AXb1AOrd.
abode	VCVC	0,1	ə-ˈbōd	VC1VC	_AXb1OWd.
abolish	VCVCVC	0,1,3	ə-ˈbä-lish	VC1VCVC	_AXb1AAlIHS.
abolition	VCVCVCVC	0,1,3,5	ˌa-bə-ˈli-shən	VCVC1VCVC	_AEbAXl1IHSIXn.
abominable	VCVCCVCVC	0,1,4,6	ə-ˈbäm-nə-bəl	VC1VCVCVCVC	_AXb1AAmIXnAXbAXl.
abominate	VCVCVCVC	0,1,3,5	ə-ˈbä-mə-ˌnāt	VC1VCVCVC	_AXb1AAmIXnEYt.
abomination	VCVCVCVCVC	0,1,3,5,7	ə-ˌbä-mə-ˈnā-shən	VCVCVC1VCVC	_AXbAAmIXn1EYSIXn.
aboriginal	VCVCVCCVC	0,1,3,6	ˌa-bə-ˈrij-nəl	VCVCC1VCVCVC	_AEbAXrr1IHJIXnAXl.
abort	VCVCC	0,1	ə-ˈbȯrt	VC1VCC	_AXb1AOrt.
abortion	VCVCCVC	0,1,4	ə-ˈbȯr-shən	VC1VCCVC	_AXb1AOrSIXn.
abortive	VCVCCVC	0,1,4	ə-ˈbȯr-tiv	VC1VCCVC	_AXb1AOrtIHv.
abound	VCVCC	0,1	ə-ˈbau̇nd	VC1VCC	_AXb1AWnd.
about	VCVC	0,1	ə-ˈbau̇t	VC1VC	_AXb1AWt.
above	VCVC	0,1	ə-ˈbəv	VC1VC	_AXb1UXv.
abraham	VCCVCVC	0,1,4	ˈā-brə-ˌham	1VCCVCVC	_1EYbrIXhAEm.
abrasion	VCCVCVC	0,1,4	ə-ˈbrā-zhən	VCC1VCVC	_AXbr1EYZIXn.
abrasive	VCCVCVC	0,1,4	ə-ˈbrā-siv	VCC1VCVC	_AXbr1EYsIHv.
abreast	VCCVCC	0,1	ə-ˈbrest	VCC1VCC	_AXbr1EHst.
abridge	VCCVC	0,1	ə-ˈbrij	VCC1VC	_AXbr1IHJ.
abroad	VCCVC	0,1	ə-ˈbrȯd	VCC1VC	_AXbr1AOd.
abrogate	VCCVCVC	0,1,4	ˈa-brə-ˌgāt	1VCCVCVC	_1AEbrIXgEYt.
abrupt	VCCVCC	0,1	ə-ˈbrəpt	VCC1VCC	_AXbr1UXpt.
abscess	VCCVC	0,2	ˈab-ˌses	1VCCVC	_1AEbsEHs.
abscissa	VCCVCV	0,2,4	ab-ˈsi-sə	VCC1VCV	_AEbs1IHsAX.
abscond	VCCCVCC	0,2	ab-ˈskänd	VCCC1VCC	_AXbsk1AAnd.
abseil	VCCVC	0,2	ˈab-ˌsāl	VCC1VVC	_AEbs1EYIXl.
absence	VCCVCC	0,2	ˈab-sən(t)s	1VCCVCC	_1AEbsIXns.
absent	VCCVCC	0,2	ˈab-sənt	1VCCVCC	_1AEbsIXnt.
absentee	VCCVCCV	0,2,5	ˌab-sən-ˈtē	VCCVCC1V	_AEbsIXnt1IY.
absenteeism	VCCVCCVVCVC	0,2,5,7,8	ˌab-sən-ˈtē-ˌi-zəm	VCCVCC1VVCVC	_AEbsIXnt1IYIHzAXm.
absentminded	VCCVCCCVCCVC	0,2,6,9	ˌab-sənt-ˈmīn-dəd	VCCVCCC1VCCVC	_AEbsIXntm1AYndIXd.
absolute	VCCVCVC	0,2,4	ˈab-sə-ˌlüt	VCCVC1VC	_AEbsAXl1UWt.
absolutely	VCCVCVCCV	0,2,4,7	ˈab-sə-ˌlüt-lē	VCCVC1VCCV	_AEbsAXl1UWtlIY.
absolution	VCCVCVCVC	0,2,4,6	ˌab-sə-ˈlü-shən	VCCVC1VCVC	_AEbsAXl1UWSIXn.
absolutism	VCCVCVCVCVC	0,2,4,6,8	ˈab-sə-ˌlü-ˌti-zəm	VCCVC1VCVCVC	_AEbsAXl1UWtIHzAXm.
absolve	VCCVCC	0,2	əb-ˈzälv	VCC1VCC	_AXbz1AOlv.
absorb	VCCVCC	0,2	əb-ˈsȯrb	VCC1VCC	_AXbz1AOrb.
absorbency	VCCVCCVCCV	0,2,5,8	əb-ˈsȯr-bən(t)-sē	VCC1VCCVCCV	_AXbz1AOrbIXnsIY.
absorption	VCCVCCCVC	0,2,6	əb-ˈsȯrp-shən	VCC1VCCCVC	_AXbz1AOrpSIXn.
absorptivity	VCCVCCCVCVCV	0,2,6,8,10	əb-ˌsȯrp-ˈti-və-tē	VCC1VCCC1VCVCV	_AXbz1AOrpt1IHvIXtIY.
abstain	VCCCVC	0,2	əb-ˈstān	VCCC1VC	_AEbst1EYn.
abstemious	VCCCVCVVC	0,2,5,7	ab-ˈstē-mē-əs	VCCC1VCVVC	_AEbst1IYmIYIXs.
abstention	VCCCVCCVC	0,2,6	əb-ˈsten(t)-shən	VCCC1VCCVC	_AEbst1EHnSIXn.
abstinence	VCCCVCVCC	0,2,5	ˈab-stə-nən(t)s	1VCCCVCVCC	_1AEbstIXnIXns.
abstract	VCCCCVCC	0,2	ab-ˈstrakt	1VCCCCVCC	_1AEbstrAEkt.
abstracted	VCCCCVCCVC	0,2,7	ab-ˈstrak-təd	VCCCC1VCCVC	_AEbstr1AEktIXd.
abstraction	VCCCCVCCVC	0,2,7	ab-ˈstrak-shən	VCCCC1VCCVC	_AEbstr1AEkSIXn.
abstruse	VCCCCVC	0,2	əb-ˈstrüs	VCCCC1VC	_AEbstr1UWs.
absurd	VCCVCC	0,2	əb-ˈsərd	VCC1VCC	_AXbs1AXrd.
absurdity	VCCVCCVCV	0,2,5,7	əb-ˈsər-də-tē	VCC1VCCVCV	_AXbs1AXrdIXtIY.
abundance	VCVCCVCC	0,1,4	ə-ˈbən-dən(t)s	VC1VCCVCC	_AXb1UXndIXns.
abuse	VCVC	0,1	ə-ˈbyüs	V=CC1VC	_AX=by1UWs.
abusive	VCVCVC	0,1,3	ə-ˈbyü-siv	V=CC1VC=VC	_AX=by1UWs=IHv.
abut	VCVC	0,1	ə-ˈbət	VC1VC	_AXb1UXt.
abutment	VCVCCVCC	0,1,4	ə-ˈbət-mənt	VC1VCCVCC	_AXb1UXtmIXnt.
abuzz	VCVC	0,1	ə-ˈbəz	VC1VC	_AXb1UXz.
aby	VCV	0,1	ə-ˈbī	VC1V	_AXb1IY.
abysmal	VCVCCVC	0,1,4	ə-ˈbiz-məl	VC1VCCVC	_AXb1IHzmAXl.
abyss	VCVC	0,1	ə-ˈbis	VC1VC	_AXb1IHs.
abyssal	VCVCVC	0,1,3	ə-ˈbi-səl	VC1VCVC	_AXb1IHsAXl.
acacia	VCVCV	0,1,3	ə-ˈkā-shə	VC1VCV	_AXk1EYSAX.
academe	VCVCVC	0,1,3	ˈa-kə-ˌdēm	1VCVCVC	_1AEkAXdIYm.
academia	VCVCVCVV	0,1,3,5,7	ˌa-kə-ˈdē-mē-ə	VCVC1VCVV	_AEkIXd1IYmIYAX.
academic	VCVCVCVC	0,1,3,5	ˌa-kə-ˈde-mik	VCVC1VCVC	_AEkAXd1EHmIHk.
academician	VCVCVCVCVC	0,1,3,5,7	ˌa-kə-də-ˈmi-shən	VCVCVC1VCVC	_AEkAXdIXm1IHSIXn.
academy	VCVCVCV	0,1,3,5	ə-ˈka-də-mē	VC1VCVCV	_AXk1AEdIXmIY.
acanthus	VCVCCVC	0,1,4	ə-ˈkan(t)-thəs	VC1VCCVC	_AXk1AEnTIXs.
acapulco	VCVCVCCV	0,1,3,6	ˌä-kä-ˈpül-(ˌ)kō	VCVC1VCCV	_AAkAXp1UHlkOW.
accede	VCCVC	0,2	ak-ˈsēd	VCC1VC	_AEks1IYd.
acceleration	VCCVCVCVCVC	0,2,4,6,8	ik-ˌse-lə-ˈrā-shən	VCCVCVCC1VCVC	_AEksEHlAXrr1EYSIXn.
accelerator	VCCVCVCVCVC	0,2,4,6,8	ik-ˈse-lə-ˌrā-tər	VCC1VCVCCVCVC	_AEks1EHlAXrrEYtAXr.
accelerometer	VCCVCVCVCVCVC	0,2,4,6,8,10	ik-ˌse-lə-ˈrä-mə-tər	VCCVCVCC1VCVCVC	_AEksEHlAXrr1AAmAXtAXr.
accent	VCCVCC	0,2	ˈak-ˌsent	1VCCVCC	_1AEksEHnt.
accentuate	VCCVCCVCVC	0,2,5,7	ik-ˈsen(t)-shə-ˌwāt	VCC1VCCVVC	_AEks1EHnCUWEYt.
accept	VCCVCC	0,2	ik-ˈsept	VCC1VCC	_AEks1EHpt.
acceptable	VCCVCCVCVC	0,2,5,7	ik-ˈsep-tə-bəl	VCC1VCCVCVC	_AEks1EHptAXbAXl.
acceptance	VCCVCCVCC	0,2,5	ik-ˈsep-tən(t)s	VCC1VCCVCC	_AEks1EHptIXns.
acceptor	VCCVCCVC	0,2,5	ik-ˈsep-tər	VCC1VCC=VC	_AEks1EHpt=AXr.
access	VCCVC	0,2	ˈak-ˌses	1VCCVC	_1AEksEHs.
accessible	VCCVCVCVC	0,2,4,6	ik-ˈse-sə-bəl	VCC1VCVCVC	_AEks1EHsIXbAXl.
accession	VCCVCVC	0,2,4	ik-ˈse-shən	VCC1VCVC	_AEks1EHSIXn.
accessory	VCCVCVCV	0,2,4,6	ik-ˈse-sə-rē	VCC1VCVCCV	_AEks1EHsAXrrIY.
accidence	VCCVCVCC	0,2,4	ˈak-sə-dən(t)s	1VCCVCVCC	_1AEksIXdIXns.
accident	VCCVCVCC	0,2,4	ˈak-sə-dənt	1VCCVCVCC	_1AEksIXdIXnt.
accidental	VCCVCVCCVC	0,2,4,7	ˌak-sə-ˈden-təl	VCCVC1VCCVC	_AEksIXd1EHntAXl.
acclaim	VCCVC	0,1	ə-ˈklām	VCC1VC	_AXkl1EYm.
acclamation	VCCVCVCVC	0,1,4,6	ˌa-klə-ˈmā-shən	VCCVC1VCVC	_AEklAXm1EYSIXn.
accolade	VCVCVC	0,1,3	ˈa-kə-ˌlād	1VCVCVC	_1AEkAXlEYd.
accommodate	VCVCVCVC	0,1,3,5	ə-ˈkä-mə-ˌdāt	VC1VCVCVC	_AXk1AAmAXdEYt.
accommodation	VCVCVCVCVC	0,1,3,5,7	ə-ˌkä-mə-ˈdā-shən	VCVCVC1VCVC	_AXkAAmAXd1EYSIXn.
accompaniment	VCVCCVCVCVCC	0,1,4,6,8	ə-ˈkəm-pə-nē-mənt	VC1VCCVCVCVCC	_AXk1UXmpAXnIYmIXnt.
accompanist	VCVCCCVCC	0,1,5	ə-ˈkəmp-nist	VC1VCCVCVCC	_AXk1UXmpAXnIXst.
accompany	VCVCCCV	0,1,5	ə-ˈkəmp-nē	VC1VCCVCV	_AXk1UXmpAXnIY.
accomplice	VCVCCCVC	0,1,4	ə-ˈkäm-pləs	VC1VCCCVC	_AXk1AAmplIXs.
accomplish	VCVCCCVC	0,1,4	ə-ˈkäm-plish	VC1VCCCVC	_AXk1AAmplIHS.
accomplishment	VCVCCCVCCVCC	0,1,4,8	ə-ˈkäm-plish-mənt	VC1VCCCVC=CVCC	_AXk1AAmplIHS=mIXnt.
accord	VCVCC	0,1	ə-ˈkȯrd	VC1VCC	_AXk1AOrd.
accordance	VCVCCVCC	0,1,4	ə-ˈkȯr-dən(t)s	VC1VCCVCC	_AXk1AOrdIXns.
accordingly	VCVCCVCCV	0,1,4,7	ə-ˈkȯr-diŋ-lē	VC1VCC=VC=CV	_AXk1AOrd=IHN=lIY.
accordion	VCVCCVVC	0,1,4,6	ə-ˈkȯr-dē-ən	VC1VCCVVC	_AXk1AOrdIYIXn.
accost	VCVCC	0,1	ə-ˈkȯst	VC1VCC	_AXk1AOst.
account	VCVCC	0,1	ə-ˈkau̇nt	VC1VCC	_AXk1AWnt.
accountability	VCVCCVCVCVCV	0,1,4,6,8,10	ə-ˌkau̇n-tə-ˈbi-lə-tē	VC1VCCVC1VCVCV	_AXk1AWntAXb1IHlIXtIY.
accountable	VCVCCVCVC	0,1,4,6	ə-ˈkau̇n-tə-bəl	VC1VCCVCVC	_AXk1AWntAXbAXl.
accountancy	VCVCCVCCV	0,1,4,7	ə-ˈkau̇n-tən(t)-sē	VC1VCCVCCV	_AXk1AWntIXnsIY.
accountant	VCVCCVCC	0,1,4	ə-ˈkau̇n-tənt	VC1VCCVCC	_AXk1AWntIXnt.
accounting	VCVCCVC	0,1,4	ə-ˈkau̇n-tiŋ	VC1VCC=VC	_AXk1AWnt=IHN.
accra	VCCV	0,1	ˈä-krə	VCC1V	_AXkr1AA.
accredit	VCCVCVC	0,1,4	ə-ˈkre-dət	VCC1VCVC	_AXkr1EHdIHt.
accretion	VCCVCVC	0,1,4	ə-ˈkrē-shən	VCC1VCVC	_AXkr1IYSIXn.
accrual	VCCVVC	0,1,4	ə-ˈkrü-əl	VCC1VVC	_AXkr1UWAXl.
accrue	VCCV	0,1	ə-ˈkrü	VCC1V	_AXkr1UW.
accumulate	VCVCVCVC	0,1,3,5	ə-ˈkyü-m(y)ə-ˌlāt	VCC1VCCVCVC	_AXky1UWmyIXlEYt.
accumulation	VCVCVCVCVC	0,1,3,5,7	ə-ˌkyü-m(y)ə-ˈlā-shən	VCCVCCVC1VCVC	_AXkyUWmyIXl1EYSIXn.
accumulative	VCVCVCVCVC	0,1,3,5,7	ə-ˈkyü-m(y)ə-ˌlā-tiv	VCC1VCCVCVCVC	_AXky1UWmyIXlIXtIHv.
accumulator	VCVCVCVCVC	0,1,3,5,7	ə-ˈkyü-m(y)ə-ˌlā-tər	VCC1VCCVCVC=VC	_AXky1UWmyIXlEYt=AXr.
accuracy	VCVCVCV	0,1,3,5	ˈa-kyə-rə-sē	1VCCVCVCV	_1AEkyIXrIXsIY.
accurate	VCVCVC	0,1,3	ˈa-kyə-rət	1VCCVCVC	_1AEkyIXrIXt.
accursed	VCVCCC	0,1	ə-ˈkərst	VC1VCCC	_AXk1AXrst.
accusal	VCVCVC	0,1,3	ə-ˈkyü-zəl	VC1VCVC	_AXk1UWzAXl.
accusation	VCVCVCVC	0,1,3,5	ˌa-kyə-ˈzā-shən	VCCVC1VCVC	_AEkyUHz1EYSIXn.
accusative	VCVCVCVC	0,1,3,5	ə-ˈkyü-zə-tiv	VCC1VCVCVC	_AXky1UWzIXtIHv.
accusatory	VCVCVCVCV	0,1,3,5,8	ə-ˈkyü-zə-ˌtȯr-ē	VCC1VCVCVCV	_AXky1UWzIXtAOrIY.
accuse	VCVC	0,1	ə-ˈkyüz	VCC1VC	_AXky1UWz.
accustom	VCVCCVC	0,1,4	ə-ˈkəs-təm	VC1VCCVC	_AXk1UXstAXm.
accustomed	VCVCCVCC	0,1,4	ə-ˈkəs-təmd	VC1VCCVCC	_AXk1UXstAXmd.
ace	VC	0	ˈās	1VC	_1EYs.
acentric	VCVCCCVC	0,1,4	(ˌ)ā-ˈsen-trik	VCVCCC1VC	_AXsIXntr1IHk.
acerbic	VCVCCVC	0,1,4	ə-ˈsər-bik	VC1VCCVC	_AXs1AXrbIHk.
acetal	VCVCVC	0,1,3	ˈa-sə-ˌtal	1VC C2VC	_1EYs ~t2AAl.
acetate	VCVCVC	0,1,3	ˈa-sə-ˌtāt	1VCVCVC	_1AEsIXtEYt.
acetone	VCVCVC	0,1,3	ˈa-sə-ˌtōn	1VCVCVC	_1AEsIXtOWn.
acetylene	VCVCVCVC	0,1,3,6	ə-ˈse-təl-ən	VC1VCVC=VC	_AXs1EHtIXl=IYn.
ache	VC	0	ˈāk	1VC	_1EYk.
achieve	VCVC	0,1	ə-ˈchēv	VC1VC	_AXC1IYv.
achievement	VCVCCVCC	0,1,4	ə-ˈchēv-mənt	VC1VCCVCC	_AXC1IYvmIXnt.
aching	VCVC	0,1	ˈā-kiŋ	1VC=VC	_1EYk=IHN.
achromatic	VCCVCVCVC	0,1,4,6	ˌa-krə-ˈma-tik	VCCVC1VCVC	_EYkrOWm1AEtIHk.
achy	VCV	0,1	ˈā-kē	1VCV	_1EYkIY.
acid	VCVC	0,1	ˈa-səd	1VCVC	_1AEsIXd.
acidic	VCVCVC	0,1,3	ə-ˈsi-dik	VC1VCVC	_AXs1IHdIXk.
acidity	VCVCVCV	0,1,3,5	ə-ˈsi-də-tē	VC1VCVCV	_AXs1IHdIXtIY.
acknowledge	VCCVCVC	0,2,4	ik-ˈnä-lij	VCC1VCVC	_AXkn1AAlIXJ.
acknowledgment	VCCVCVCCVCC	0,2,4,7	ik-ˈnä-lij-mənt	VCC1VCVCCVCC	_AXkn1AAlIXJmIXnt.
acme	VCCV	0,2	ˈak-mē	1VCCV	_1AEkmIY.
acne	VCCV	0,2	ˈak-nē	1VCCV	_1AEknIY.
acolyte	VCVCVC	0,1,3	ˈa-kə-ˌlīt	1VCVCVC	_1AEkAXlAYt.
aconite	VCVCVC	0,1,3	ˈa-kə-ˌnīt	VCVC1VC	_AXkAXn1AYt.
acorn	VCVCC	0,1	ˈā-ˌkȯrn	1VCVCC	_1EYkAOrn.
acoustic	VCVCCVC	0,1,4	ə-ˈküs-tik	VC1VCCVC	_AXk1UWstIHk.
acoustics	VCVCCVCC	0,1,4	ə-ˈküs-tiks	VC1VCCVCC	_AXk1UWstIHks.
acquaint	VCCVCC	0,1	ə-ˈkwānt	VCC1VCC	_AXkw1EYnt.
acquaintance	VCCVCCVCC	0,1,5	ə-ˈkwān-tən(t)s	VCC1VCCVCC	_AXkw1EYntIXns.
acquiesce	VCCVVC	0,1,4	ˌa-kwē-ˈes	1VCCV1VC	_1AEkwIY1EHs.
acquire	VCCVVC	0,1,4	ə-ˈkwī(-ə)r	VCC1VVC	_AXkw1AYAXr.
acquirer	VCCVVCVC	0,1,4,6	ə-ˈkwī(-ə)r-ər	VCC1VVC=VC	_AXkw1AYAXr=AXr.
acquisition	VCCVCVCVC	0,1,4,6	ˌa-kwə-ˈzi-shən	1VCCVC1VCVC	_1AEkwIXz1IHSIXn.
acquisitive	VCCVCVCVC	0,1,4,6	ə-ˈkwi-zə-tiv	VCC1VCVCVC	_AXkw1IHzIXtIHv.
acquit	VCCVC	0,1	ə-ˈkwit	VCC1VC	_AXkw1IHt.
acquittal	VCCVCVC	0,1,4	ə-ˈkwi-təl	VCC1VCVC	_AXkw1IHtAXl.
acquittance	VCCVCVCC	0,1,4	ə-ˈkwi-tən(t)s	VCC1VCVCC	_AXkw1IHtIXns.
acre	VCVC	0,1	ˈā-kər	1VCVC	_1EYkAXr.
acreage	VCVCVC	0,1,3	ˈā-k(ə-)rij	1VCCVC	_1EYkrIHJ.
acrid	VCCVC	0,1	ˈa-krəd	1VCCVC	_1AEkrIXd.
acrimonious	VCCVCVCVVC	0,1,4,6,8	ˌa-krə-ˈmō-nē-əs	VCCVC1VCVVC	_AXkrIXm1OWnIYIXs.
acrimony	VCCVCVCV	0,1,4,6	ˈa-krə-ˌmō-nē	1VCCVCVCV	_1AEkrIXmOWnIY.
acrobat	VCCVCVC	0,1,4	ˈa-krə-ˌbat	1VCCVCVC	_1AEkrAXbAEt.
acrobatics	VCCVCVCVCC	0,1,4,6	ˌa-krə-ˈba-tiks	VCCVC1VCVCC	_AEkrAXb1AEtIHks.
acronym	VCCVCVC	0,1,4	ˈa-krə-ˌnim	1VCCVCVC	_1AEkrIXnIHm.
across	VCCVC	0,1	ə-ˈkrȯs	VCC1VC	_AXkr1AOs.
acrostic	VCCVCCVC	0,1,5	ə-ˈkrȯs-tik	VCC1VCCVC	_AXkr1AOstIHk.
acrylic	VCCVCVC	0,1,4	ə-ˈkri-lik	VCC1VCVC	_AXkr1IHlIHk.
act	VCC	0	ˈakt	1VCC	_1AEkt.
acting	VCCVC	0,2	ˈak-tiŋ	1VCC=VC	_1AEkt=IHN.
action	VCCVC	0,2	ˈak-shən	1VCCVC	_1AEkSIXn.
actionable	VCCVCVCVC	0,2,4,6	ˈak-sh(ə-)nə-bəl	1VCCVCVCVC	_1AEkSIXnAXbAXl.
activate	VCCVCVC	0,2,4	ˈak-tə-ˌvāt	1VCCVCVC	_1AEktIXvEYt.
active	VCCVC	0,2	ˈak-tiv	1VCCVC	_1AEktIHv.
activism	VCCVCVCVC	0,2,4,6	ˈak-ti-ˌvi-zəm	1VCCVCVCVC	_1AEktIXvIHzAXm.
activity	VCCVCVCV	0,2,4,6	ak-ˈti-və-tē	VCC1VCVCV	_AEkt1IHvIXtIY.
actor	VCCVC	0,2	ˈak-tər	1VCCVC	_1AEktAXr.
actress	VCCCVC	0,2	ˈak-trəs	1VCCCVC	_1AEktrIXs.
acts	VCCC	0	ˈakts	1VCCC	_1AEkts.
actual	VCCVCVC	0,2,4	ˈak-ch(ə-w)əl	1VCCVVC	_1AEkCUWAXl.
actuality	VCCVCVCVCV	0,2,4,6,8	ˌak-chə-ˈwa-lə-tē	1VCCV1VCVCV	_1AEkCUW1AElIXtIY.
actually	VCCVCVCV	0,2,4,6	ˈak-ch(ə-w)ə-lē	1VCCVVC=V	_1AEkCUWAXl=IY.
actuarial	VCCVCVCVVC	0,2,4,7,8	ˌak-chə-ˈwer-ē-əl	VCCV1VCVVC	_AEkCUW1EHrIYIXl.
actuary	VCCVCVCV	0,2,4,7	ˈak-chə-ˌwer-ē	1VCCVVCV	_1AEkCUWEHrIY.
actuate	VCCVCVC	0,2,4	ˈak-chə-ˌwāt	1VCCVVC	_1AEkCUWEYt.
actuator	VCCVCVCVC	0,2,4,6	ˈak-chə-ˌwā-tər	1VCCVVCVC	_1AEkCUWEYtAXr.
acuity	VCVVCV	0,1,3,4	ə-ˈkyü-ə-tē	VCC1VVCV	_AXky1UWIXtIY.
acumen	VCVCVC	0,1,3	ə-ˈkyü-mən	VCC1VCVC	_AXky1UWmIXn.
acute	VCVC	0,1	ə-ˈkyüt	VCC1VC	_AXky1UWt.
acyclic	VCVCCVC	0,1,3	(ˌ)ā-ˈsī-klik	VC1VCCVC	_EYs1AYklIHk.
adage	VCVC	0,1	ˈa-dij	1VCVC	_1AEdIHJ.
